"Campaign name","Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)","Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","Shop clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Cost per landing page view","LPV rate","hold rate","hook rate","Purchases rate per landing page views","Reporting starts","Reporting ends"
"3neb nv",inactive,campaign,"7-day click or 1-day view","Website purchases",17,50422,1.30613621,5.70882353,97.05,-,-,-,65858,1.47362507,1848,0,0.05251623,2.80603723,3444,5.22943302,0.02817944,1158,0.08380829,0.62662338,0.2556418,0.29537793,1.46804836,2025-06-25,2026-05-23
"9ronfol chou3ara",inactive,campaign,"7-day click or 1-day view","Website purchases",18,24452,1.97190414,5.06611111,91.19,-,-,-,48217,1.89124168,1903,0,0.04791908,3.94674078,3128,6.48733849,0.02915281,1516,0.06015172,0.79663689,0.31183237,0.15144036,1.18733509,2025-06-25,2026-05-23
"yassmine yabani",active,campaign,"7-day click or 1-day view","Website purchases",53,20863,2.00915496,1.43207547,75.9,-,-,-,41917,1.81072119,1069,0,0.07100094,2.55027793,1731,4.12958943,0.04384749,837,0.090681,0.78297474,0.3350424,0.12097717,6.33213859,2025-06-25,2026-05-23
"moringa 2",inactive,campaign,"7-day click or 1-day view","Website purchases",67,49242,1.46502985,1.07044776,71.72,-,-,-,72141,0.99416421,3568,0,0.0201009,4.94586989,6117,8.47922818,0.0117247,2632,0.02724924,0.73766816,0.35497651,0.35695374,2.54559271,2025-06-25,2026-05-23
"fel w yassmine CBO",inactive,campaign,"7-day click or 1-day view","Website purchases",25,30264,1.16108247,2.8412,71.03,-,-,-,35139,2.02140072,1452,0,0.04891873,4.13216085,2772,7.88867071,0.0256241,1097,0.06474932,0.75550964,0.29973545,0.32271835,2.27894257,2025-06-25,2026-05-23
"الكرموس الزيدي",inactive,campaign,"7-day click or 1-day view","Website purchases",34,31581,1.37893037,1.99735294,67.91,-,-,-,43548,1.55942868,2043,0,0.03324033,4.69137503,4029,9.25186002,0.0168553,1577,0.04306278,0.77190406,0.33298707,0.44210986,2.15599239,2025-06-25,2026-05-23
"9ronfol arbi",inactive,campaign,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",28,16028,1.8009733,2.3675,66.29,-,-,-,28866,2.29647336,1218,0,0.05442529,4.21949699,2152,7.45513753,0.0308039,996,0.06655622,0.81773399,0.31149341,0.18928844,2.81124498,2025-06-25,2026-05-23
"khoukh CBO",inactive,campaign,"7-day click or 1-day view","Website purchases",10,87417,1.08562408,5.725,57.25,-,-,-,94902,0.60325388,1687,0,0.03393598,1.77762323,4694,4.94615498,0.01219642,1083,0.05286242,0.64196799,0.25020353,0.07765906,0.92336103,2025-06-25,2026-05-23
"3neb nv CBO",inactive,campaign,"7-day click or 1-day view","Website purchases",7,50630,1.13320166,7.81285714,54.69,-,-,-,57374,0.95321923,1801,0,0.03036646,3.13905253,3321,5.78833618,0.01646793,956,0.05720711,0.53081621,0.27136167,0.28659323,0.73221757,2025-06-25,2026-05-23
قارس,inactive,campaign,"7-day click or 1-day view","Website purchases",10,37328,1.13555508,4.894,48.94,-,-,-,42388,1.15457205,1730,0,0.02828902,4.08134378,3436,8.10606776,0.01424331,1245,0.03930924,0.71965318,0.35795489,0.38390582,0.80321285,2025-06-25,2026-05-23
thomson,inactive,campaign,"7-day click or 1-day view","Website purchases",14,15935,1.5359272,3.05428571,42.76,-,-,-,24475,1.74708887,974,0,0.04390144,3.97957099,1880,7.68130746,0.02274468,771,0.05546044,0.79158111,0.27010427,0.28604699,1.81582361,2025-06-25,2026-05-23
"red one nv",inactive,campaign,"7-day click or 1-day view","Website purchases",17,27109,1.21181158,2.45294118,41.7,-,-,-,32851,1.26936775,1285,0,0.03245136,3.91160086,2254,6.86128276,0.01850044,848,0.04917453,0.65992218,0.25677635,0.27289885,2.00471698,2025-06-25,2026-05-23
"tofe7 ahmer nv",inactive,campaign,"7-day click or 1-day view","Website purchases",6,18399,1.18332518,6.77166667,40.63,-,-,-,21772,1.86615837,704,0,0.05771307,3.23351093,1202,5.52085247,0.033802,501,0.0810978,0.71164773,0.21271298,0.35045012,1.19760479,2025-06-25,2026-05-23
